,LOCATION,TIME,GDP,GDP_1,GDP_2,Unemployment,Unemployment_1,Unemployment_2,Confidence,Confidence_1,Confidence_2
0,USA,1992,3.522443,-0.10826199999999997,1.88596,7.508333,6.816667,5.616667,98.88373583333332,98.92973000000002,99.39174
1,USA,1993,2.752852,3.522443,-0.10826199999999997,6.9,7.508333,6.816667,99.56179166666668,98.88373583333332,98.92973000000002
2,USA,1994,4.0288309999999985,2.752852,3.522443,6.0833330000000005,6.9,7.508333,100.62311666666666,99.56179166666668,98.88373583333332
3,USA,1995,2.684285,4.0288309999999985,2.752852,5.608333,6.0833330000000005,6.9,100.61194166666668,100.62311666666666,99.56179166666668
4,USA,1996,3.772504,2.684285,4.0288309999999985,5.416667,5.608333,6.0833330000000005,100.78743333333334,100.61194166666668,100.62311666666666
5,USA,1997,4.447221,3.772504,2.684285,4.95,5.416667,5.608333,101.91205,100.78743333333334,100.61194166666668
6,USA,1998,4.4814050000000005,4.447221,3.772504,4.508333,4.95,5.416667,102.05336666666666,101.91205,100.78743333333334
7,USA,1999,4.753238,4.4814050000000005,4.447221,4.216667,4.508333,4.95,102.20607499999998,102.05336666666666,101.91205
8,USA,2000,4.127478,4.753238,4.4814050000000005,3.991667,4.216667,4.508333,102.36807499999998,102.20607499999998,102.05336666666666
9,USA,2001,0.998347,4.127478,4.753238,4.733333,3.991667,4.216667,100.30166333333334,102.36807499999998,102.20607499999998
10,USA,2002,1.741697,0.998347,4.127478,5.775,4.733333,3.991667,100.29341833333336,100.30166333333334,102.36807499999998
11,USA,2003,2.861203,1.741697,0.998347,5.991667,5.775,4.733333,100.13954416666664,100.29341833333336,100.30166333333334
12,USA,2004,3.798898,2.861203,1.741697,5.533333,5.991667,5.775,100.937925,100.13954416666664,100.29341833333336
13,USA,2005,3.513208,3.798898,2.861203,5.066667,5.533333,5.991667,100.20048249999998,100.937925,100.13954416666664
14,USA,2006,2.854972,3.513208,3.798898,4.616667,5.066667,5.533333,100.07145333333334,100.20048249999998,100.937925
15,USA,2007,1.876176,2.854972,3.513208,4.616667,4.616667,5.066667,99.86255083333332,100.07145333333334,100.20048249999998
16,USA,2008,-0.13658,1.876176,2.854972,5.775,4.616667,4.616667,97.31912666666666,99.86255083333332,100.07145333333334
17,USA,2009,-2.536759,-0.13658,1.876176,9.266666,5.775,4.616667,97.62789916666668,97.31912666666666,99.86255083333332
18,USA,2010,2.563768,-2.536759,-0.13658,9.616667,9.266666,5.775,98.26296833333332,97.62789916666668,97.31912666666666
19,USA,2011,1.550834,2.563768,-2.536759,8.95,9.616667,9.266666,97.76223500000002,98.26296833333332,97.62789916666668
20,USA,2012,2.249547,1.550834,2.563768,8.066667,8.95,9.616667,98.80022666666666,97.76223500000002,98.26296833333332
21,USA,2013,1.842081,2.249547,1.550834,7.375,8.066667,8.95,99.12056333333334,98.80022666666666,97.76223500000002
22,USA,2014,2.525971,1.842081,2.249547,6.166667,7.375,8.066667,99.69740749999998,99.12056333333334,98.80022666666666
23,USA,2015,2.90802,2.525971,1.842081,5.291667,6.166667,7.375,100.694125,99.69740749999998,99.12056333333334
24,USA,2016,1.637839,2.90802,2.525971,4.866667,5.291667,6.166667,100.58111666666666,100.694125,99.69740749999998
25,USA,2017,2.3698,1.637839,2.90802,4.35,4.866667,5.291667,101.15171666666667,100.58111666666666,100.694125
